20190522,西岗,侯家沟,敦煌大厦,4室1厅,101平米,3000
20190522,西岗,侯家沟,侯一小区,3室2厅,132平米,11000
20190522,西岗,侯家沟,侯一小区,2室1厅,60平米,2000
20190522,西岗,侯家沟,侯一小区,2室2厅,97平米,3800
20190522,西岗,侯家沟,侯一小区,2室1厅,64平米,1800
20190522,西岗,侯家沟,中铁十三局,2室1厅,60平米,2500
20190522,西岗,侯家沟,侯一小区,1室1厅,61平米,2700
20190522,西岗,侯家沟,侯二小区,2室1厅,59平米,1450
20190522,西岗,侯家沟,车家村,2室1厅,60平米,2100
20190522,西岗,侯家沟,侯二小区,1室2厅,50平米,2200
20190522,西岗,侯家沟,合租·香洲心城,3居室,17平米,1350
20190522,西岗,侯家沟,柳馨家园,3室2厅,138平米,3300
20190522,西岗,侯家沟,侯二小区,2室1厅,54平米,1550
20190522,西岗,侯家沟,学工街,2室1厅,64平米,1700
20190522,西岗,侯家沟,侯一小区,2室1厅,55平米,2400
20190522,西岗,侯家沟,合租·侯一小区,3居室,18平米,1250
20190522,西岗,侯家沟,侯一小区,2室1厅,51平米,1400
20190522,西岗,侯家沟,侯一小区,1室1厅,41平米,1400
20190522,西岗,侯家沟,侯一小区,1室1厅,44平米,1700
20190522,西岗,侯家沟,整租·侯一小区,2室2厅,139平米,3000
20190522,西岗,侯家沟,车家村,2室1厅,45平米,1400
20190522,西岗,侯家沟,香洲心城,2室1厅,61平米,3000
20190522,西岗,侯家沟,侯二小区,1室0厅,30平米,1500
20190522,西岗,侯家沟,侯二小区,3室1厅,64平米,3500
20190522,西岗,侯家沟,侯一小区,2室1厅,65平米,1600
20190522,西岗,侯家沟,侯一小区,2室1厅,53平米,2100
20190522,西岗,侯家沟,车家村,1室0厅,45平米,950
20190522,西岗,侯家沟,中铁十三局,2室1厅,60平米,1650
20190522,西岗,侯家沟,侯一小区,1室1厅,40平米,1000
20190522,西岗,侯家沟,侯二小区,1室1厅,41平米,1450
20190522,西岗,侯家沟,侯一小区,2室1厅,48平米,2400
20190522,西岗,侯家沟,侯二小区,2室1厅,58平米,1650
20190522,西岗,侯家沟,侯一小区,1室1厅,35平米,1700
20190522,西岗,侯家沟,学工街,2室1厅,49平米,1400
20190522,西岗,侯家沟,侯一小区,2室0厅,52平米,1500
20190522,西岗,侯家沟,侯一小区,2室1厅,56平米,1700
20190522,西岗,侯家沟,香洲心城,2室1厅,63平米,3300
20190522,西岗,侯家沟,侯一小区,2室1厅,53平米,1700
20190522,西岗,侯家沟,侯一小区,2室1厅,54平米,1700
20190522,西岗,侯家沟,新居佳园,1室1厅,50平米,2000
20190522,西岗,侯家沟,车家村,1室1厅,51平米,1300
20190522,西岗,侯家沟,华新苑,2室1厅,75平米,2800
20190522,西岗,侯家沟,整租·侯二小区,2室1厅,68平米,1850
20190522,西岗,侯家沟,香洲心城,3室1厅,140平米,5000
20190522,西岗,侯家沟,中铁十三局,2室1厅,60平米,2500
20190522,西岗,侯家沟,侯一小区,2室1厅,66平米,2600
20190522,西岗,侯家沟,车家村,1室1厅,70平米,2750
20190522,西岗,侯家沟,香茗苑,2室2厅,102平米,3400
20190522,西岗,侯家沟,香茗苑,2室2厅,106平米,3500
20190522,西岗,侯家沟,侯二小区,2室1厅,61平米,1900
20190522,西岗,侯家沟,侯一小区,2室1厅,70平米,1900
20190522,西岗,侯家沟,侯一小区,2室1厅,55平米,5100
20190522,西岗,侯家沟,学工街,1室1厅,38平米,1200
20190522,西岗,侯家沟,侯一小区,1室1厅,40平米,1300
20190522,西岗,侯家沟,车家村,1室0厅,33平米,1600
20190522,西岗,侯家沟,侯一小区,1室1厅,36平米,1450
20190522,西岗,侯家沟,侯二小区,2室1厅,65平米,2000
20190522,西岗,侯家沟,侯一小区,2室0厅,65平米,1700
20190522,西岗,侯家沟,侯二小区,2室1厅,66平米,1700
20190522,西岗,侯家沟,车家村,2室1厅,58平米,2200
20190522,西岗,侯家沟,侯二小区,1室1厅,36平米,1600
20190522,西岗,侯家沟,车家村,2室1厅,47平米,1700
20190522,西岗,侯家沟,侯二小区,1室1厅,50平米,2200
20190522,西岗,侯家沟,车家村,1室1厅,64平米,1700
20190522,西岗,侯家沟,侯一小区,2室1厅,56平米,1900
20190522,西岗,侯家沟,侯二小区,2室1厅,75平米,1750
20190522,西岗,侯家沟,新居佳园,1室1厅,54平米,2300
20190522,西岗,侯家沟,侯一小区,2室1厅,56平米,1900
20190522,西岗,侯家沟,中铁十三局,2室1厅,59平米,1800
20190522,西岗,侯家沟,侯一小区,2室0厅,45平米,1000
20190522,西岗,侯家沟,侯一小区,1室0厅,38平米,1300
20190522,西岗,侯家沟,侯一小区,1室1厅,37平米,1200
20190522,西岗,侯家沟,侯一小区,1室1厅,36平米,1000
20190522,西岗,侯家沟,侯二小区,2室1厅,46平米,1600
20190522,西岗,侯家沟,车家村,1室1厅,33平米,1500
20190522,西岗,侯家沟,侯二小区,1室1厅,262平米,10000
20190522,西岗,侯家沟,侯二小区,2室1厅,62平米,1800
20190522,西岗,侯家沟,侯二小区,1室1厅,45平米,1400
20190522,西岗,侯家沟,车家村,2室1厅,56平米,1800
20190522,西岗,侯家沟,侯二小区,2室1厅,60平米,1600
20190522,西岗,侯家沟,中铁十三局,3室0厅,84平米,2500
20190522,西岗,侯家沟,学工街,1室0厅,33平米,1200
20190522,西岗,侯家沟,车家村,2室0厅,40平米,1600
20190522,西岗,侯家沟,中铁十三局,2室1厅,55平米,1700
20190522,西岗,侯家沟,侯一小区,1室1厅,37平米,1000
20190522,西岗,侯家沟,侯一小区,2室0厅,47平米,3750
20190522,西岗,侯家沟,侯一小区,2室1厅,57平米,1600
20190522,西岗,侯家沟,车家村,2室0厅,42平米,1500
20190522,西岗,侯家沟,整租·车家村,2室1厅,40平米,4000
20190522,西岗,侯家沟,侯二小区,2室1厅,63平米,2300
20190522,西岗,侯家沟,侯一小区,1室0厅,30平米,1300
20190522,西岗,侯家沟,整租·侯二小区,2室0厅,40平米,1300
20190522,西岗,侯家沟,整租·车家村,1室1厅,30平米,1200
20190522,西岗,侯家沟,侯二小区,2室1厅,50平米,2000
20190522,西岗,侯家沟,车家村,1室1厅,44平米,2200
20190522,西岗,侯家沟,侯一小区,3室1厅,73平米,2300
20190522,西岗,侯家沟,车家村,1室1厅,40平米,1000
20190522,西岗,侯家沟,中铁十三局,2室1厅,55平米,1600
20190522,西岗,侯家沟,侯二小区,1室1厅,33平米,1400
20190522,西岗,侯家沟,侯一小区,1室1厅,47平米,1600
20190522,西岗,侯家沟,侯二小区,2室2厅,97平米,2300
20190522,西岗,侯家沟,侯一小区,2室1厅,78平米,4500
20190522,西岗,侯家沟,侯二小区,2室1厅,54平米,1650
20190522,西岗,侯家沟,侯二小区,1室1厅,41平米,1400
20190522,西岗,侯家沟,侯二小区,2室1厅,56平米,2200
20190522,西岗,侯家沟,侯二小区,2室1厅,58平米,1500
20190522,西岗,侯家沟,侯一小区,2室1厅,54平米,1500
20190522,西岗,侯家沟,侯二小区,2室1厅,60平米,1700
20190522,西岗,侯家沟,侯一小区,1室1厅,40平米,1300
20190522,西岗,侯家沟,车家村,1室0厅,30平米,1200
20190522,西岗,侯家沟,侯二小区,1室1厅,48平米,1450
20190522,西岗,侯家沟,侯一小区,2室1厅,61平米,1600
20190522,西岗,侯家沟,侯一小区,1室1厅,41平米,1600
20190522,西岗,侯家沟,车家村,1室0厅,32平米,1200
20190522,西岗,侯家沟,侯二小区,2室1厅,62平米,1800
20190522,西岗,侯家沟,侯二小区,2室1厅,49平米,1600
20190522,西岗,侯家沟,车家村,2室1厅,66平米,2200
20190522,西岗,侯家沟,车家村,2室0厅,43平米,1400
20190522,西岗,侯家沟,车家村,2室1厅,63平米,950
20190522,西岗,侯家沟,敦煌大厦,2室1厅,82平米,2000
20190522,西岗,侯家沟,侯一小区,2室2厅,75平米,4000
20190522,西岗,侯家沟,新居佳园,2室1厅,53平米,2300
20190522,西岗,侯家沟,车家村,3室1厅,64平米,2200
20190522,西岗,侯家沟,侯一小区,2室2厅,77平米,2000
20190522,西岗,侯家沟,中铁十三局,2室2厅,77平米,2200
20190522,西岗,侯家沟,车家村,2室1厅,40平米,1300
20190522,西岗,侯家沟,香洲心城,2室1厅,130平米,3600
20190522,西岗,侯家沟,新居佳园,1室1厅,51平米,2200
20190522,西岗,侯家沟,侯二小区,2室1厅,64平米,1600
20190522,西岗,侯家沟,侯二小区,2室1厅,70平米,1600
20190522,西岗,侯家沟,车家村,2室0厅,50平米,4200
20190522,西岗,侯家沟,侯二小区,2室0厅,48平米,1550
20190522,西岗,侯家沟,学工街,1室0厅,26平米,1000
20190522,西岗,侯家沟,侯一小区,1室1厅,46平米,1400
20190522,西岗,侯家沟,香洲心城,2室1厅,72平米,3200
20190522,西岗,侯家沟,侯二小区,1室0厅,30平米,1000
20190522,西岗,侯家沟,新居佳园,2室1厅,50平米,2500
20190522,西岗,侯家沟,新居佳园,2室1厅,60平米,2000
20190522,西岗,侯家沟,侯二小区,1室1厅,13平米,1000
20190522,西岗,侯家沟,侯一小区,1室1厅,36平米,1800
20190522,西岗,侯家沟,车家村,1室0厅,20平米,2100
20190522,西岗,侯家沟,香洲心城,2室2厅,95平米,3500
20190522,西岗,侯家沟,侯二小区,2室1厅,60平米,1600
20190522,西岗,侯家沟,侯一小区,3室1厅,85平米,2400
20190522,西岗,侯家沟,学工街,2室0厅,43平米,1200
20190522,西岗,侯家沟,侯二小区,1室1厅,50平米,1650
20190522,西岗,侯家沟,侯一小区,1室1厅,35平米,1350
20190522,西岗,侯家沟,车家村,2室1厅,55平米,1700
20190522,西岗,侯家沟,车家村,1室1厅,45平米,1800
20190522,西岗,侯家沟,侯一小区,2室0厅,53平米,1850
20190522,西岗,侯家沟,侯二小区,2室1厅,68平米,2000
20190522,西岗,侯家沟,侯二小区,2室0厅,39平米,1700
20190522,西岗,侯家沟,侯一小区,2室1厅,50平米,1700
20190522,西岗,侯家沟,侯二小区,2室1厅,62平米,1400
20190522,西岗,侯家沟,侯二小区,1室1厅,50平米,1400
20190522,西岗,侯家沟,侯一小区,1室1厅,40平米,1700
20190522,西岗,侯家沟,整租·车家村,2室0厅,50平米,1700
20190522,西岗,侯家沟,侯一小区,2室1厅,63平米,1550
20190522,西岗,侯家沟,侯二小区,1室1厅,39平米,2650
20190522,西岗,侯家沟,侯一小区,2室1厅,50平米,1800
20190522,西岗,侯家沟,侯二小区,1室1厅,42平米,1300
20190522,西岗,侯家沟,车家村,1室1厅,40平米,1500
20190522,西岗,侯家沟,侯一小区,1室1厅,50平米,1300
20190522,西岗,侯家沟,侯二小区,2室1厅,40平米,1700
20190522,西岗,侯家沟,车家村,2室1厅,51平米,2000
20190522,西岗,侯家沟,侯二小区,2室0厅,40平米,1750
20190522,西岗,侯家沟,侯二小区,1室1厅,46平米,1200
20190522,西岗,侯家沟,侯一小区,1室1厅,39平米,1300
20190522,西岗,侯家沟,侯二小区,2室1厅,50平米,1500
20190522,西岗,侯家沟,车家村,1室1厅,33平米,1750
20190522,西岗,侯家沟,侯一小区,1室1厅,41平米,1600
20190522,西岗,侯家沟,侯二小区,2室1厅,54平米,1800
20190522,西岗,侯家沟,侯一小区,2室1厅,58平米,1600
20190522,西岗,侯家沟,香茗苑,1室2厅,75平米,2300
20190522,西岗,侯家沟,车家村,2室0厅,47平米,2800
20190522,西岗,侯家沟,整租·车家村,1室1厅,33平米,1300
20190522,西岗,侯家沟,侯二小区,2室1厅,60平米,1500
20190522,西岗,侯家沟,车家村,2室1厅,57平米,1700
20190522,西岗,侯家沟,香洲心城,2室2厅,104平米,4000
20190522,西岗,侯家沟,侯二小区,2室1厅,62平米,1800
20190522,西岗,侯家沟,车家村,3室1厅,79平米,2400
20190522,西岗,侯家沟,侯二小区,1室1厅,160平米,12000
20190522,西岗,侯家沟,中铁十三局,3室2厅,104平米,2700
20190522,西岗,侯家沟,侯一小区,3室1厅,66平米,2600
20190522,西岗,侯家沟,侯一小区,2室1厅,61平米,3400
20190522,西岗,侯家沟,侯二小区,2室1厅,40平米,1700
20190522,西岗,侯家沟,侯一小区,2室1厅,56平米,2100
20190522,西岗,侯家沟,侯二小区,1室1厅,49平米,1400
20190522,西岗,侯家沟,柳馨家园,2室2厅,126平米,2700
20190522,西岗,侯家沟,柳馨家园,2室2厅,110平米,3500
20190522,西岗,侯家沟,侯一小区,2室2厅,96平米,3000
20190522,西岗,侯家沟,侯二小区,2室1厅,55平米,2100
20190522,西岗,侯家沟,侯二小区,3室1厅,82平米,4200
20190522,西岗,侯家沟,整租·学工街,1室1厅,45平米,1100
20190522,西岗,侯家沟,侯二小区,2室1厅,60平米,1800
20190522,西岗,侯家沟,整租·车家村,1室1厅,33平米,1200
20190522,西岗,侯家沟,车家村,2室0厅,56平米,1200
20190522,西岗,侯家沟,侯一小区,1室1厅,52平米,1700
20190522,西岗,侯家沟,侯二小区,1室1厅,52平米,1700
20190522,西岗,侯家沟,侯一小区,2室1厅,82平米,2400
20190522,西岗,侯家沟,侯二小区,1室1厅,46平米,1500
20190522,西岗,侯家沟,侯一小区,1室1厅,64平米,1600
20190522,西岗,侯家沟,侯一小区,1室1厅,47平米,1100
20190522,西岗,侯家沟,侯一小区,2室1厅,50平米,1500
20190522,西岗,侯家沟,车家村,1室1厅,38平米,1300
20190522,西岗,侯家沟,侯二小区,2室1厅,50平米,1500
20190522,西岗,侯家沟,侯一小区,1室1厅,50平米,1600
20190522,西岗,侯家沟,侯二小区,1室1厅,34平米,1500
20190522,西岗,侯家沟,侯二小区,1室1厅,42平米,1100
20190522,西岗,侯家沟,侯二小区,2室1厅,55平米,1800
20190522,西岗,侯家沟,侯一小区,2室1厅,59平米,1800
20190522,西岗,侯家沟,侯一小区,4室2厅,128平米,3800
20190522,西岗,侯家沟,侯二小区,1室1厅,39平米,1000
20190522,西岗,侯家沟,侯二小区,2室1厅,62平米,1650
20190522,西岗,侯家沟,侯一小区,2室1厅,59平米,1750
20190522,西岗,侯家沟,侯一小区,2室0厅,47平米,1100
20190522,西岗,侯家沟,侯一小区,1室0厅,12平米,1700
20190522,西岗,侯家沟,侯一小区,2室1厅,87平米,2000
20190522,西岗,侯家沟,侯一小区,2室1厅,62平米,4000
20190522,西岗,侯家沟,侯一小区,1室1厅,49平米,2200
20190522,西岗,侯家沟,侯一小区,1室1厅,38平米,1350
20190522,西岗,侯家沟,侯一小区,2室1厅,72平米,1800
20190522,西岗,侯家沟,侯一小区,2室1厅,50平米,1600
20190522,西岗,侯家沟,侯一小区,1室1厅,47平米,2300
20190522,西岗,侯家沟,侯一小区,1室1厅,44平米,2500
20190522,西岗,侯家沟,侯一小区,2室1厅,59平米,1500
20190522,西岗,侯家沟,侯一小区,1室1厅,40平米,1900
20190522,西岗,侯家沟,侯一小区,1室0厅,36平米,1000
20190522,西岗,侯家沟,侯二小区,1室1厅,29平米,1300
20190522,西岗,侯家沟,新居佳园,1室1厅,57平米,2400
20190522,西岗,侯家沟,侯一小区,2室1厅,60平米,1700
20190522,西岗,侯家沟,车家村,1室0厅,38平米,1200
20190522,西岗,侯家沟,侯一小区,2室1厅,50平米,2100
20190522,西岗,侯家沟,侯二小区,3室1厅,68平米,2100
